key,value,comment
unit_daily_wage,600000,D
food_cheap_price,120000,
food_good_price,240000,
metro_price,12000,
bus_price,9000,
taxi_price,90000,
utilities_monthly,900000,
rent_room_narmak_monthly,7000000,
training_11_to_12,3000000,
phone_internet_monthly,200000,
employee_wage_simple,12000000,monthly
employee_wage_good,15000000,monthly
kiosk_entry,15000000,deposit
kiosk_setup,2000000,
kiosk_rent_monthly,3500000,
kiosk_utilities_monthly,1200000,
kiosk_daily_revenue_base,2800000,
kiosk_cogs_percent,62,
small_shop_entry,70000000,
small_shop_setup,10000000,
small_shop_rent_monthly,8000000,
small_shop_utilities_monthly,2000000,
small_shop_daily_revenue_base,5000000,
small_shop_cogs_percent,62,
medium_shop_entry,180000000,
medium_shop_rent_monthly,15000000,
medium_shop_daily_revenue_base,12000000,
medium_shop_cogs_percent,60,
foot_traffic_narmak,6,
foot_traffic_jomhuri,18,
foot_traffic_tajrish,12,
reputation_decay_daily,-0.5,
anti_spiral_cash_min,300000,
anti_spiral_cash_max,500000,
anti_spiral_stress_relief,20,
first_hour_target_cash,750000,
first_hour_goal_message,Save 15000000 for kiosk deposit,
